#   M	    K	    N	     v33
 1280	 1024	 2816	0.020180
 1280	 1024	 3072	0.021489
 1280	 1024	 3328	0.027832
 1280	 1024	 3584	0.035707
 1280	 1024	 3840	0.036291
 1280	 1024	 4096	0.040412
 1536	 1024	  256	0.007957
 1536	 1024	  512	0.009678
 1536	 1024	  768	0.012011
 1536	 1024	 1024	0.012073
 1536	 1024	 1280	0.013606
 1536	 1024	 1536	0.017005
 1536	 1024	 1792	0.019900
 1536	 1024	 2048	0.021341
 1536	 1024	 2304	0.020263
 1536	 1024	 2560	0.021698
 1536	 1024	 2816	0.020360
 1536	 1024	 3072	0.028883
 1536	 1024	 3328	0.032407
 1536	 1024	 3584	0.037415
 1536	 1024	 3840	0.034215
 1536	 1024	 4096	0.038506
 1792	 1024	  256	0.007895
 1792	 1024	  512	0.009585
 1792	 1024	  768	0.012631
 1792	 1024	 1024	0.012710
 1792	 1024	 1280	0.019700
 1792	 1024	 1536	0.020079
 1792	 1024	 1792	0.021428
 1792	 1024	 2048	0.020034
 1792	 1024	 2304	0.020618
 1792	 1024	 2560	0.028936
 1792	 1024	 2816	0.036808
 1792	 1024	 3072	0.032809
 1792	 1024	 3328	0.038313
 1792	 1024	 3584	0.036635
 1792	 1024	 3840	0.038815
 1792	 1024	 4096	0.040532
 2048	 1024	  256	0.008104
 2048	 1024	  512	0.010248
 2048	 1024	  768	0.012157
